2018 Rank,City,State,2018 estimate,2010 Census,Change,2016 land area (sq mile),2016 land area(sq km),2016 population density (per sq mile),2016 population density (per sq km),location
131,Mobile,Alabama,189572,195111,−2.84%,139.4,361.0,"1,384",534,30°40′06″N 88°06′01″W﻿ / ﻿30.6684°N 88.1002°W﻿ / 30.6684; -88.1002﻿ (Mobile)
132,Cape Coral,Florida,189343,154305,+22.71%,105.6,273.5,"1,703",658,26°38′36″N 81°59′51″W﻿ / ﻿26.6432°N 81.9974°W﻿ / 26.6432; -81.9974﻿ (Cape Coral)
133,Shreveport,Louisiana,188987,199311,−5.18%,107.1,277.4,"1,820",700,32°28′01″N 93°47′32″W﻿ / ﻿32.4669°N 93.7922°W﻿ / 32.4669; -93.7922﻿ (Shreveport)
134,Frisco,Texas,188170,116989,+60.84%,67.7,175.3,"2,417",933,33°09′19″N 96°49′21″W﻿ / ﻿33.1554°N 96.8226°W﻿ / 33.1554; -96.8226﻿ (Frisco)
135,Knoxville,Tennessee,187500,178874,+4.82%,98.5,255.1,"1,891",730,35°58′15″N 83°56′57″W﻿ / ﻿35.9707°N 83.9493°W﻿ / 35.9707; -83.9493﻿ (Knoxville)
136,Worcester,Massachusetts,185877,181045,+2.67%,37.4,96.9,"4,933","1,905",42°16′10″N 71°48′28″W﻿ / ﻿42.2695°N 71.8078°W﻿ / 42.2695; -71.8078﻿ (Worcester)
137,Brownsville,Texas,183392,175023,+4.78%,132.5,343.2,"1,387",536,25°59′57″N 97°27′18″W﻿ / ﻿25.9991°N 97.4550°W﻿ / 25.9991; -97.4550﻿ (Brownsville)
138,Vancouver,Washington,183012,161791,+13.12%,46.9,121.5,"3,728","1,439",45°38′06″N 122°35′45″W﻿ / ﻿45.6349°N 122.5957°W﻿ / 45.6349; -122.5957﻿ (Vancouver)
139,Fort Lauderdale,Florida,182595,165521,+10.32%,34.6,89.6,"5,166","1,995",26°08′28″N 80°08′48″W﻿ / ﻿26.1412°N 80.1467°W﻿ / 26.1412; -80.1467﻿ (Fort Lauderdale)
140,Sioux Falls,South Dakota,181883,153888,+18.19%,75.4,195.3,"2,312",893,43°32′18″N 96°43′55″W﻿ / ﻿43.5383°N 96.7320°W﻿ / 43.5383; -96.7320﻿ (Sioux Falls)
141,Ontario,California,181107,163924,+10.48%,49.9,129.2,"3,471","1,340",34°02′22″N 117°36′15″W﻿ / ﻿34.0394°N 117.6042°W﻿ / 34.0394; -117.6042﻿ (Ontario)
142,Chattanooga,Tennessee,180557,167674,+7.68%,143.1,370.6,"1,241",479,35°03′58″N 85°14′54″W﻿ / ﻿35.0660°N 85.2484°W﻿ / 35.0660; -85.2484﻿ (Chattanooga)
143,Providence,Rhode Island,179335,178042,+0.73%,18.4,47.7,"9,740","3,760",41°49′23″N 71°25′08″W﻿ / ﻿41.8231°N 71.4188°W﻿ / 41.8231; -71.4188﻿ (Providence)
144,Newport News,Virginia,178626,180719,−1.16%,69.1,179.0,"2,631","1,016",37°04′34″N 76°31′19″W﻿ / ﻿37.0762°N 76.5220°W﻿ / 37.0762; -76.5220﻿ (Newport News)
145,Rancho Cucamonga,California,177751,165269,+7.55%,40.0,103.6,"4,413","1,704",34°07′24″N 117°33′51″W﻿ / ﻿34.1233°N 117.5642°W﻿ / 34.1233; -117.5642﻿ (Rancho Cucamonga)
146,Santa Rosa,California,177586,167815,+5.82%,41.3,107.0,"4,241","1,637",38°26′48″N 122°42′22″W﻿ / ﻿38.4468°N 122.7061°W﻿ / 38.4468; -122.7061﻿ (Santa Rosa)
147,Oceanside,California,176080,167086,+5.38%,41.3,107.0,"4,249","1,641",33°13′28″N 117°18′22″W﻿ / ﻿33.2245°N 117.3062°W﻿ / 33.2245; -117.3062﻿ (Oceanside)
148,Salem,Oregon,173442,154637,+12.16%,48.6,125.9,"3,445","1,330",44°55′25″N 123°01′24″W﻿ / ﻿44.9237°N 123.0232°W﻿ / 44.9237; -123.0232﻿ (Salem)
149,Elk Grove,California,172886,153015,+12.99%,42.2,109.3,"4,022","1,553",38°24′53″N 121°23′06″W﻿ / ﻿38.4146°N 121.3850°W﻿ / 38.4146; -121.3850﻿ (Elk Grove)
150,Garden Grove,California,172646,170883,+1.03%,18.0,46.6,"9,714","3,751",33°46′44″N 117°57′38″W﻿ / ﻿33.7788°N 117.9605°W﻿ / 33.7788; -117.9605﻿ (Garden Grove)
151,Pembroke Pines,Florida,172374,154019,+11.92%,33.0,85.5,"5,109","1,973",26°01′16″N 80°20′25″W﻿ / ﻿26.0210°N 80.3404°W﻿ / 26.0210; -80.3404﻿ (Pembroke Pines)
152,Peoria,Arizona,172259,154065,+11.81%,175.7,455.1,934,361,33°47′10″N 112°18′29″W﻿ / ﻿33.7862°N 112.3080°W﻿ / 33.7862; -112.3080﻿ (Peoria)
153,Eugene,Oregon,171245,156185,+9.64%,44.1,114.2,"3,777","1,458",44°03′24″N 123°06′58″W﻿ / ﻿44.0567°N 123.1162°W﻿ / 44.0567; -123.1162﻿ (Eugene)
154,Corona,California,168819,152374,+10.79%,39.5,102.3,"4,222","1,630",33°51′43″N 117°33′56″W﻿ / ﻿33.8620°N 117.5655°W﻿ / 33.8620; -117.5655﻿ (Corona)
155,Cary,North Carolina,168160,135234,+24.35%,56.5,146.3,"2,873","1,109",35°46′51″N 78°48′48″W﻿ / ﻿35.7809°N 78.8133°W﻿ / 35.7809; -78.8133﻿ (Cary)
156,Springfield,Missouri,168122,159498,+5.41%,82.3,213.2,"2,033",785,37°11′39″N 93°17′29″W﻿ / ﻿37.1942°N 93.2913°W﻿ / 37.1942; -93.2913﻿ (Springfield)
157,Fort Collins,Colorado,167830,143986,+16.56%,55.8,144.5,"2,943","1,136",40°32′54″N 105°03′53″W﻿ / ﻿40.5482°N 105.0648°W﻿ / 40.5482; -105.0648﻿ (Fort Collins)
158,Jackson,Mississippi,164422,173514,−5.24%,111.0,287.5,"1,524",588,32°18′57″N 90°12′46″W﻿ / ﻿32.3158°N 90.2128°W﻿ / 32.3158; -90.2128﻿ (Jackson)
159,Alexandria,Virginia,160530,139966,+14.69%,15.0,38.8,"10,387","4,010",38°49′12″N 77°05′03″W﻿ / ﻿38.8201°N 77.0841°W﻿ / 38.8201; -77.0841﻿ (Alexandria)
160,Hayward,California,159620,144186,+10.70%,45.5,117.8,"3,493","1,349",37°37′43″N 122°06′09″W﻿ / ﻿37.6287°N 122.1024°W﻿ / 37.6287; -122.1024﻿ (Hayward)
161,Lancaster,California,159053,156633,+1.55%,94.3,244.2,"1,698",656,34°41′37″N 118°10′31″W﻿ / ﻿34.6936°N 118.1753°W﻿ / 34.6936; -118.1753﻿ (Lancaster)
162,Lakewood,Colorado,156798,142980,+9.66%,42.9,111.1,"3,599","1,390",39°41′56″N 105°07′03″W﻿ / ﻿39.6989°N 105.1176°W﻿ / 39.6989; -105.1176﻿ (Lakewood)
163,Clarksville,Tennessee,156794,132929,+17.95%,98.3,254.6,"1,529",590,36°33′59″N 87°20′43″W﻿ / ﻿36.5664°N 87.3452°W﻿ / 36.5664; -87.3452﻿ (Clarksville)
164,Palmdale,California,156667,152750,+2.56%,106.0,274.5,"1,484",573,34°35′28″N 118°06′19″W﻿ / ﻿34.5910°N 118.1054°W﻿ / 34.5910; -118.1054﻿ (Palmdale)
165,Salinas,California,156259,150441,+3.87%,23.6,61.1,"6,662","2,572",36°41′25″N 121°38′01″W﻿ / ﻿36.6902°N 121.6337°W﻿ / 36.6902; -121.6337﻿ (Salinas)
166,Springfield,Massachusetts,155032,153060,+1.29%,31.9,82.6,"4,830","1,860",42°06′56″N 72°32′24″W﻿ / ﻿42.1155°N 72.5400°W﻿ / 42.1155; -72.5400﻿ (Springfield)
167,Hollywood,Florida,154823,140768,+9.98%,27.3,70.7,"5,568","2,150",26°01′52″N 80°09′53″W﻿ / ﻿26.0310°N 80.1646°W﻿ / 26.0310; -80.1646﻿ (Hollywood)
168,Pasadena,Texas,153219,149043,+2.80%,43.5,112.7,"3,525","1,361",29°39′31″N 95°09′02″W﻿ / ﻿29.6586°N 95.1506°W﻿ / 29.6586; -95.1506﻿ (Pasadena)
169,Sunnyvale,California,153185,140081,+9.35%,22.0,57.0,"6,944","2,681",37°23′09″N 122°01′35″W﻿ / ﻿37.3858°N 122.0263°W﻿ / 37.3858; -122.0263﻿ (Sunnyvale)
170,Macon,Georgia,153095,91351,+67.59%,249.3,645.7,612,236,32°48′32″N 83°41′39″W﻿ / ﻿32.8088°N 83.6942°W﻿ / 32.8088; -83.6942﻿ (Macon)
171,Kansas City,Kansas,152958,145786,+4.92%,124.8,323.2,"1,216",470,39°07′21″N 94°44′30″W﻿ / ﻿39.1225°N 94.7418°W﻿ / 39.1225; -94.7418﻿ (Kansas City)
172,Pomona,California,152361,149058,+2.22%,23.0,59.6,"6,630","2,560",34°03′31″N 117°45′40″W﻿ / ﻿34.0585°N 117.7611°W﻿ / 34.0585; -117.7611﻿ (Pomona)
173,Escondido,California,152213,143911,+5.77%,37.1,96.1,"4,087","1,578",33°07′59″N 117°04′26″W﻿ / ﻿33.1331°N 117.0740°W﻿ / 33.1331; -117.0740﻿ (Escondido)
174,Killeen,Texas,149103,127921,+16.56%,53.5,138.6,"2,680","1,030",31°04′40″N 97°43′55″W﻿ / ﻿31.0777°N 97.7320°W﻿ / 31.0777; -97.7320﻿ (Killeen)
175,Naperville,Illinois,148304,141853,+4.55%,38.7,100.2,"3,802","1,468",41°44′57″N 88°09′43″W﻿ / ﻿41.7492°N 88.1620°W﻿ / 41.7492; -88.1620﻿ (Naperville)
176,Joliet,Illinois,148099,147433,+0.45%,64.4,166.8,"2,302",889,41°31′04″N 88°08′56″W﻿ / ﻿41.5177°N 88.1488°W﻿ / 41.5177; -88.1488﻿ (Joliet)
177,Bellevue,Washington,147599,122363,+20.62%,33.5,86.8,"4,221","1,630",47°35′52″N 122°09′23″W﻿ / ﻿47.5979°N 122.1565°W﻿ / 47.5979; -122.1565﻿ (Bellevue)
178,Rockford,Illinois,146526,152871,−4.15%,63.5,164.5,"2,325",898,42°15′32″N 89°03′53″W﻿ / ﻿42.2588°N 89.0646°W﻿ / 42.2588; -89.0646﻿ (Rockford)
179,Savannah,Georgia,145862,136286,+7.03%,103.6,268.3,"1,417",547,32°00′09″N 81°09′13″W﻿ / ﻿32.0025°N 81.1536°W﻿ / 32.0025; -81.1536﻿ (Savannah)
180,Paterson,New Jersey,145627,146199,−0.39%,8.4,21.8,"17,500","6,800",40°54′53″N 74°09′46″W﻿ / ﻿40.9148°N 74.1628°W﻿ / 40.9148; -74.1628﻿ (Paterson)
181,Torrance,California,145182,145438,−0.18%,20.5,53.1,"7,180","2,770",33°50′06″N 118°20′29″W﻿ / ﻿33.8350°N 118.3414°W﻿ / 33.8350; -118.3414﻿ (Torrance)
182,Bridgeport,Connecticut,144900,144229,+0.47%,16.1,41.7,"9,064","3,500",41°11′15″N 73°11′45″W﻿ / ﻿41.1874°N 73.1958°W﻿ / 41.1874; -73.1958﻿ (Bridgeport)
183,McAllen,Texas,143433,129877,+10.44%,58.4,151.3,"2,435",940,26°13′56″N 98°14′47″W﻿ / ﻿26.2322°N 98.2464°W﻿ / 26.2322; -98.2464﻿ (McAllen)
184,Mesquite,Texas,142816,139824,+2.14%,47.2,122.2,"3,045","1,176",32°45′46″N 96°35′20″W﻿ / ﻿32.7629°N 96.5888°W﻿ / 32.7629; -96.5888﻿ (Mesquite)
185,Syracuse,New York,142749,145170,−1.67%,25.0,64.7,"5,735","2,214",43°02′28″N 76°08′37″W﻿ / ﻿43.0410°N 76.1436°W﻿ / 43.0410; -76.1436﻿ (Syracuse)
186,Midland,Texas,142344,111147,+28.07%,74.4,192.7,"1,809",698,32°01′29″N 102°06′49″W﻿ / ﻿32.0246°N 102.1135°W﻿ / 32.0246; -102.1135﻿ (Midland)
187,Pasadena,California,141371,137122,+3.10%,23.0,59.6,"6,176","2,385",34°09′38″N 118°08′23″W﻿ / ﻿34.1606°N 118.1396°W﻿ / 34.1606; -118.1396﻿ (Pasadena)
188,Murfreesboro,Tennessee,141344,108755,+29.97%,55.9,144.8,"2,360",910,35°51′08″N 86°24′58″W﻿ / ﻿35.8522°N 86.4160°W﻿ / 35.8522; -86.4160﻿ (Murfreesboro)
189,Miramar,Florida,140823,122041,+15.39%,29.4,76.1,"4,709","1,818",25°58′37″N 80°20′09″W﻿ / ﻿25.9770°N 80.3358°W﻿ / 25.9770; -80.3358﻿ (Miramar)
190,Dayton,Ohio,140640,141527,−0.63%,55.7,144.3,"2,522",974,39°46′39″N 84°11′59″W﻿ / ﻿39.7774°N 84.1996°W﻿ / 39.7774; -84.1996﻿ (Dayton)
191,Fullerton,California,139640,135161,+3.31%,22.4,58.0,"6,282","2,425",33°53′09″N 117°55′41″W﻿ / ﻿33.8857°N 117.9280°W﻿ / 33.8857; -117.9280﻿ (Fullerton)
192,Olathe,Kansas,139605,125872,+10.91%,60.9,157.7,"2,225",859,38°53′03″N 94°49′10″W﻿ / ﻿38.8843°N 94.8195°W﻿ / 38.8843; -94.8195﻿ (Olathe)
193,Orange,California,139484,136416,+2.25%,25.4,65.8,"5,532","2,136",33°47′13″N 117°51′41″W﻿ / ﻿33.7870°N 117.8613°W﻿ / 33.7870; -117.8613﻿ (Orange)
194,Thornton,Colorado,139436,118772,+17.40%,35.7,92.5,"3,829","1,478",39°55′10″N 104°56′34″W﻿ / ﻿39.9194°N 104.9428°W﻿ / 39.9194; -104.9428﻿ (Thornton)
195,Roseville,California,139117,118788,+17.11%,43.0,111.4,"3,085","1,191",38°46′08″N 121°19′08″W﻿ / ﻿38.7690°N 121.3189°W﻿ / 38.7690; -121.3189﻿ (Roseville)
196,Denton,Texas,138541,113383,+22.19%,93.4,241.9,"1,433",553,33°13′00″N 97°08′29″W﻿ / ﻿33.2166°N 97.1414°W﻿ / 33.2166; -97.1414﻿ (Denton)
197,Waco,Texas,138183,124805,+10.72%,89.0,230.5,"1,510",580,31°33′36″N 97°11′10″W﻿ / ﻿31.5601°N 97.1860°W﻿ / 31.5601; -97.1860﻿ (Waco)
198,Surprise,Arizona,138161,117517,+17.57%,107.9,279.5,"1,230",470,33°40′14″N 112°27′10″W﻿ / ﻿33.6706°N 112.4527°W﻿ / 33.6706; -112.4527﻿ (Surprise)
199,Carrollton,Texas,136879,119097,+14.93%,36.3,94.0,"3,674","1,419",32°59′18″N 96°53′59″W﻿ / ﻿32.9884°N 96.8998°W﻿ / 32.9884; -96.8998﻿ (Carrollton)
200,West Valley City,Utah,136401,129480,+5.35%,35.5,91.9,"3,847","1,485",40°41′19″N 112°00′42″W﻿ / ﻿40.6885°N 112.0118°W﻿ / 40.6885; -112.0118﻿ (West Valley City)
201,Charleston,South Carolina,136208,120083,+13.43%,109.0,282.3,"1,233",476,32°49′04″N 79°57′32″W﻿ / ﻿32.8179°N 79.9590°W﻿ / 32.8179; -79.9590﻿ (Charleston)
202,Warren,Michigan,134587,134056,+0.40%,34.4,89.1,"3,928","1,517",42°29′34″N 83°01′30″W﻿ / ﻿42.4929°N 83.0250°W﻿ / 42.4929; -83.0250﻿ (Warren)
203,Hampton,Virginia,134313,137436,−2.27%,51.5,133.4,"2,629","1,015",37°02′53″N 76°17′50″W﻿ / ﻿37.0480°N 76.2971°W﻿ / 37.0480; -76.2971﻿ (Hampton)
204,Gainesville,Florida,133857,124354,+7.64%,62.3,161.4,"2,112",815,29°40′44″N 82°20′46″W﻿ / ﻿29.6788°N 82.3461°W﻿ / 29.6788; -82.3461﻿ (Gainesville)
205,Visalia,California,133800,124442,+7.52%,37.5,97.1,"3,495","1,349",36°19′38″N 119°19′44″W﻿ / ﻿36.3273°N 119.3289°W﻿ / 36.3273; -119.3289﻿ (Visalia)
206,Coral Springs,Florida,133507,121096,+10.25%,23.8,61.6,"5,465","2,110",26°16′15″N 80°15′33″W﻿ / ﻿26.2707°N 80.2593°W﻿ / 26.2707; -80.2593﻿ (Coral Springs)
207,Columbia,South Carolina,133451,129272,+3.23%,133.5,345.8,"1,006",388,34°01′45″N 80°53′53″W﻿ / ﻿34.0291°N 80.8980°W﻿ / 34.0291; -80.8980﻿ (Columbia)
208,Cedar Rapids,Iowa,133174,126326,+5.42%,70.8,183.4,"1,852",715,41°58′01″N 91°40′40″W﻿ / ﻿41.9670°N 91.6778°W﻿ / 41.9670; -91.6778﻿ (Cedar Rapids)
209,Sterling Heights,Michigan,132964,129699,+2.52%,36.5,94.5,"3,628","1,401",42°34′52″N 83°01′49″W﻿ / ﻿42.5812°N 83.0303°W﻿ / 42.5812; -83.0303﻿ (Sterling Heights)
210,New Haven,Connecticut,130418,129779,+0.49%,18.7,48.4,"6,948","2,683",41°18′39″N 72°55′30″W﻿ / ﻿41.3108°N 72.9250°W﻿ / 41.3108; -72.9250﻿ (New Haven)
211,Stamford,Connecticut,129775,122643,+5.82%,37.6,97.4,"3,434","1,326",41°04′48″N 73°32′46″W﻿ / ﻿41.0799°N 73.5460°W﻿ / 41.0799; -73.5460﻿ (Stamford)
212,Concord,California,129688,122067,+6.24%,30.5,79.0,"4,221","1,630",37°58′20″N 122°00′06″W﻿ / ﻿37.9722°N 122.0016°W﻿ / 37.9722; -122.0016﻿ (Concord)
213,Kent,Washington,129618,92411,+40.26%,33.7,87.3,"3,784","1,461",47°23′17″N 122°12′46″W﻿ / ﻿47.3880°N 122.2127°W﻿ / 47.3880; -122.2127﻿ (Kent)
214,Santa Clara,California,129488,116468,+11.18%,18.4,47.7,"6,845","2,643",37°21′53″N 121°58′04″W﻿ / ﻿37.3646°N 121.9679°W﻿ / 37.3646; -121.9679﻿ (Santa Clara)
215,Elizabeth,New Jersey,128885,124969,+3.13%,12.3,31.9,"10,459","4,038",40°39′59″N 74°11′37″W﻿ / ﻿40.6664°N 74.1935°W﻿ / 40.6664; -74.1935﻿ (Elizabeth)
216,Round Rock,Texas,128739,99887,+28.88%,35.6,92.2,"3,396","1,311",30°31′31″N 97°39′58″W﻿ / ﻿30.5252°N 97.6660°W﻿ / 30.5252; -97.6660﻿ (Round Rock)
217,Thousand Oaks,California,127690,126683,+0.79%,55.2,143.0,"2,335",902,34°11′36″N 118°52′27″W﻿ / ﻿34.1933°N 118.8742°W﻿ / 34.1933; -118.8742﻿ (Thousand Oaks)
218,Lafayette,Louisiana,126143,120623,+4.58%,53.8,139.3,"2,372",916,30°12′27″N 92°01′43″W﻿ / ﻿30.2074°N 92.0285°W﻿ / 30.2074; -92.0285﻿ (Lafayette)
219,Athens,Georgia,125964,115452,+9.11%,116.4,301.5,"1,060",410,33°56′59″N 83°22′12″W﻿ / ﻿33.9496°N 83.3701°W﻿ / 33.9496; -83.3701﻿ (Athens)
220,Topeka,Kansas,125904,127473,−1.23%,61.5,159.3,"2,062",796,39°02′05″N 95°41′46″W﻿ / ﻿39.0347°N 95.6962°W﻿ / 39.0347; -95.6962﻿ (Topeka)
221,Simi Valley,California,125851,124237,+1.30%,41.5,107.5,"3,044","1,175",34°16′01″N 118°44′55″W﻿ / ﻿34.2669°N 118.7485°W﻿ / 34.2669; -118.7485﻿ (Simi Valley)
222,Fargo,North Dakota,124844,105549,+18.28%,49.3,127.7,"2,450",950,46°51′55″N 96°49′44″W﻿ / ﻿46.8652°N 96.8290°W﻿ / 46.8652; -96.8290﻿ (Fargo)
223,Norman,Oklahoma,123471,110925,+11.31%,178.8,463.1,683,264,35°14′26″N 97°20′43″W﻿ / ﻿35.2406°N 97.3453°W﻿ / 35.2406; -97.3453﻿ (Norman)
224,Columbia,Missouri,123180,108500,+13.53%,65.0,168.3,"1,856",717,38°57′06″N 92°19′43″W﻿ / ﻿38.951561°N 92.328638°W﻿ / 38.951561; -92.328638﻿ (Columbia)
225,Abilene,Texas,122999,117063,+5.07%,106.7,276.4,"1,146",442,32°27′16″N 99°44′17″W﻿ / ﻿32.4545°N 99.7381°W﻿ / 32.4545; -99.7381﻿ (Abilene)
226,Wilmington,North Carolina,122607,106476,+15.15%,51.6,133.6,"2,278",880,34°12′33″N 77°53′09″W﻿ / ﻿34.2092°N 77.8858°W﻿ / 34.2092; -77.8858﻿ (Wilmington)
227,Hartford,Connecticut,122587,124775,−1.75%,17.4,45.1,"7,083","2,735",41°45′57″N 72°40′54″W﻿ / ﻿41.7659°N 72.6816°W﻿ / 41.7659; -72.6816﻿ (Hartford)
228,Victorville,California,122312,115903,+5.53%,73.3,189.8,"1,668",644,34°31′40″N 117°21′13″W﻿ / ﻿34.5277°N 117.3536°W﻿ / 34.5277; -117.3536﻿ (Victorville)
229,Pearland,Texas,122149,91252,+33.86%,46.3,119.9,"2,453",947,29°33′21″N 95°19′23″W﻿ / ﻿29.5558°N 95.3231°W﻿ / 29.5558; -95.3231﻿ (Pearland)
230,Vallejo,California,121913,115942,+5.15%,30.7,79.5,"3,951","1,525",38°06′28″N 122°15′50″W﻿ / ﻿38.1079°N 122.2640°W﻿ / 38.1079; -122.2640﻿ (Vallejo)
231,Ann Arbor,Michigan,121890,113934,+6.98%,28.1,72.8,"4,298","1,659",42°16′34″N 83°43′51″W﻿ / ﻿42.2761°N 83.7309°W﻿ / 42.2761; -83.7309﻿ (Ann Arbor)
232,Berkeley,California,121643,112580,+8.05%,10.5,27.2,"11,547","4,458",37°52′01″N 122°17′57″W﻿ / ﻿37.8670°N 122.2991°W﻿ / 37.8670; -122.2991﻿ (Berkeley)
233,Allentown,Pennsylvania,121433,118032,+2.88%,17.5,45.3,"6,882","2,657",40°35′37″N 75°28′42″W﻿ / ﻿40.5936°N 75.4784°W﻿ / 40.5936; -75.4784﻿ (Allentown)
234,Richardson,Texas,120981,99223,+21.93%,28.6,74.1,"3,963","1,530",32°58′20″N 96°42′29″W﻿ / ﻿32.9723°N 96.7081°W﻿ / 32.9723; -96.7081﻿ (Richardson)
235,Odessa,Texas,120568,99940,+20.64%,45.2,117.1,"2,608","1,007",31°53′02″N 102°20′28″W﻿ / ﻿31.8838°N 102.3411°W﻿ / 31.8838; -102.3411﻿ (Odessa)
236,Arvada,Colorado,120492,106433,+13.21%,38.6,100.0,"3,043","1,175",39°50′01″N 105°09′01″W﻿ / ﻿39.8337°N 105.1503°W﻿ / 39.8337; -105.1503﻿ (Arvada)
237,Cambridge,Massachusetts,118977,105162,+13.14%,6.4,16.6,"17,289","6,675",42°22′34″N 71°07′07″W﻿ / ﻿42.3760°N 71.1187°W﻿ / 42.3760; -71.1187﻿ (Cambridge)
238,Sugar Land,Texas,118600,78817,+50.48%,34.0,88.1,"3,488","1,347",29°35′58″N 95°36′51″W﻿ / ﻿29.5994°N 95.6142°W﻿ / 29.5994; -95.6142﻿ (Sugar Land)
239,Beaumont,Texas,118428,118296,+0.11%,82.1,212.6,"1,441",556,30°05′06″N 94°08′43″W﻿ / ﻿30.0849°N 94.1453°W﻿ / 30.0849; -94.1453﻿ (Beaumont)
240,Lansing,Michigan,118427,114297,+3.61%,39.1,101.3,"2,967","1,146",42°42′51″N 84°33′33″W﻿ / ﻿42.7143°N 84.5593°W﻿ / 42.7143; -84.5593﻿ (Lansing)
241,Evansville,Indiana,117963,117429,+0.45%,47.3,122.5,"2,526",975,37°59′16″N 87°32′05″W﻿ / ﻿37.9877°N 87.5347°W﻿ / 37.9877; -87.5347﻿ (Evansville)
242,Rochester,Minnesota,116961,106769,+9.55%,54.6,141.4,"2,088",806,44°00′55″N 92°28′38″W﻿ / ﻿44.0154°N 92.4772°W﻿ / 44.0154; -92.4772﻿ (Rochester)
243,Independence,Missouri,116925,116830,+0.08%,77.8,201.5,"1,504",581,39°05′08″N 94°21′08″W﻿ / ﻿39.0855°N 94.3521°W﻿ / 39.0855; -94.3521﻿ (Independence)
244,Fairfield,California,116884,105321,+10.98%,40.9,105.9,"2,806","1,083",38°15′33″N 122°01′56″W﻿ / ﻿38.2593°N 122.0321°W﻿ / 38.2593; -122.0321﻿ (Fairfield)
245,Provo,Utah,116702,112488,+3.75%,41.7,108.0,"2,803","1,082",40°14′43″N 111°38′41″W﻿ / ﻿40.2453°N 111.6448°W﻿ / 40.2453; -111.6448﻿ (Provo)
246,Clearwater,Florida,116478,107685,+8.17%,25.9,67.1,"4,415","1,705",27°58′44″N 82°46′00″W﻿ / ﻿27.9789°N 82.7666°W﻿ / 27.9789; -82.7666﻿ (Clearwater)
247,College Station,Texas,116218,93857,+23.82%,51.0,132.1,"2,199",849,30°35′07″N 96°17′47″W﻿ / ﻿30.5852°N 96.2964°W﻿ / 30.5852; -96.2964﻿ (College Station)
248,West Jordan,Utah,116046,103712,+11.89%,32.3,83.7,"3,520","1,360",40°36′09″N 112°00′03″W﻿ / ﻿40.6024°N 112.0008°W﻿ / 40.6024; -112.0008﻿ (West Jordan)
249,Carlsbad,California,115877,105328,+10.02%,37.7,97.6,"3,023","1,167",33°07′26″N 117°16′58″W﻿ / ﻿33.1239°N 117.2828°W﻿ / 33.1239; -117.2828﻿ (Carlsbad)
250,El Monte,California,115586,113475,+1.86%,9.6,24.9,"12,063","4,658",34°04′29″N 118°01′45″W﻿ / ﻿34.0746°N 118.0291°W﻿ / 34.0746; -118.0291﻿ (El Monte)
251,Murrieta,California,114985,103466,+11.13%,33.6,87.0,"3,324","1,283",33°34′20″N 117°11′25″W﻿ / ﻿33.5721°N 117.1904°W﻿ / 33.5721; -117.1904﻿ (Murrieta)
252,Temecula,California,114742,100097,+14.63%,37.3,96.6,"3,031","1,170",33°29′35″N 117°07′54″W﻿ / ﻿33.4931°N 117.1317°W﻿ / 33.4931; -117.1317﻿ (Temecula)
253,Springfield,Illinois,114694,116250,−1.34%,60.1,155.7,"1,925",743,39°47′28″N 89°38′41″W﻿ / ﻿39.7911°N 89.6446°W﻿ / 39.7911; -89.6446﻿ (Springfield)
254,Palm Bay,Florida,114194,103190,+10.66%,65.7,170.2,"1,676",647,27°59′08″N 80°39′45″W﻿ / ﻿27.9856°N 80.6626°W﻿ / 27.9856; -80.6626﻿ (Palm Bay)
255,Costa Mesa,California,113615,109960,+3.32%,15.7,40.7,"7,186","2,775",33°39′57″N 117°54′44″W﻿ / ﻿33.6659°N 117.9123°W﻿ / 33.6659; -117.9123﻿ (Costa Mesa)
256,Westminster,Colorado,113479,106114,+6.94%,31.7,82.1,"3,592","1,387",39°52′56″N 105°03′52″W﻿ / ﻿39.8822°N 105.0644°W﻿ / 39.8822; -105.0644﻿ (Westminster)
257,North Charleston,South Carolina,113237,97471,+16.18%,73.7,190.9,"1,483",573,32°55′04″N 80°03′54″W﻿ / ﻿32.9178°N 80.0650°W﻿ / 32.9178; -80.0650﻿ (North Charleston)
258,Miami Gardens,Florida,113069,107167,+5.51%,18.2,47.1,"6,212","2,398",25°56′56″N 80°14′37″W﻿ / ﻿25.9489°N 80.2436°W﻿ / 25.9489; -80.2436﻿ (Miami Gardens)
259,Manchester,New Hampshire,112525,109565,+2.70%,33.1,85.7,"3,339","1,289",42°59′06″N 71°26′39″W﻿ / ﻿42.9849°N 71.4441°W﻿ / 42.9849; -71.4441﻿ (Manchester)
260,High Point,North Carolina,112316,104371,+7.61%,55.2,143.0,"2,015",778,35°59′24″N 79°59′26″W﻿ / ﻿35.9900°N 79.9905°W﻿ / 35.9900; -79.9905﻿ (High Point)
261,Downey,California,112269,111772,+0.44%,12.4,32.1,"9,134","3,527",33°56′18″N 118°07′51″W﻿ / ﻿33.9382°N 118.1309°W﻿ / 33.9382; -118.1309﻿ (Downey)
262,Clovis,California,112022,95631,+17.14%,24.2,62.7,"4,404","1,700",36°49′42″N 119°41′06″W﻿ / ﻿36.8282°N 119.6849°W﻿ / 36.8282; -119.6849﻿ (Clovis)
